archive,measures,problem,RI
UEA_downsampled,PAM_LCSS_D,ERing,0.949226309921962
UEA_downsampled,PAM_LCSS_D,FingerMovements,0.498806765523633
UEA_downsampled,PAM_LCSS_D,HandMovementDirection,0.2629910861670518
UEA_downsampled,PAM_LCSS_D,Handwriting,0.929059413954994
UEA_downsampled,PAM_LCSS_D,Heartbeat,0.5238865717436119
UEA_downsampled,PAM_LCSS_D,JapaneseVowels,0.820173611111111
UEA_downsampled,PAM_LCSS_D,Libras,0.2781244196843082
UEA_downsampled,PAM_LCSS_D,LSST,0.3794845445916388
UEA_downsampled,PAM_LCSS_D,MotorImagery,0.4986877745498435
UEA_downsampled,PAM_LCSS_D,NATOPS,0.8535345094398019
UEA_downsampled,PAM_LCSS_D,PenDigits,0.4290887015560536
UEA_downsampled,PAM_LCSS_D,PEMS-SF,0.160604680057983
UEA_downsampled,PAM_LCSS_D,PhonemeSpectra,0.9461860688331278
UEA_downsampled,PAM_LCSS_D,RacketSports,0.5219264310537015
UEA_downsampled,PAM_LCSS_D,SelfRegulationSCP1,0.4991214667685256
UEA_downsampled,PAM_LCSS_D,SelfRegulationSCP2,0.4986946257464241
UEA_downsampled,PAM_LCSS_D,SpokenArabicDigits,0.8715217797681623
UEA_downsampled,PAM_LCSS_D,StandWalkJump,0.4472934472934473
UEA_downsampled,PAM_LCSS_D,UWaveGestureLibrary,0.9243000621246636
UEA_downsampled,PAM_LCSS_D,EigenWorms,0.7216964472778427
UEA_downsampled,PAM_LCSS_D,FaceDetection,0.4995115355836798
UEA_downsampled,PAM_LCSS_D,InsectWingbeat,0.6934136136136135
UEA_downsampled,PAM_LCSS_I,ArticularyWordRecognition,0.9883653991819422
UEA_downsampled,PAM_LCSS_I,AtrialFibrillation,0.3586206896551723
UEA_downsampled,PAM_LCSS_I,BasicMotions,0.8936708860759494
UEA_downsampled,PAM_LCSS_I,CharacterTrajectories,0.9651086189648816
UEA_downsampled,PAM_LCSS_I,Cricket,0.9767846058348852
UEA_downsampled,PAM_LCSS_I,DuckDuckGeese,0.2404040404040404
UEA_downsampled,PAM_LCSS_I,Epilepsy,0.6977889847378899
UEA_downsampled,PAM_LCSS_I,EthanolConcentration,0.635564053537285
UEA_downsampled,PAM_LCSS_I,ERing,0.9522853957636568
UEA_downsampled,PAM_LCSS_I,FingerMovements,0.4988415199258573
UEA_downsampled,PAM_LCSS_I,HandMovementDirection,0.6141630901287554
UEA_downsampled,PAM_LCSS_I,Handwriting,0.9310855029164888
UEA_downsampled,PAM_LCSS_I,Heartbeat,0.5834172299726736
UEA_downsampled,PAM_LCSS_I,JapaneseVowels,0.828752445226917
UEA_downsampled,PAM_LCSS_I,Libras,0.1306220984215413
UEA_downsampled,PAM_LCSS_I,LSST,0.7788745821468368
UEA_downsampled,PAM_LCSS_I,MotorImagery,0.4992154716292648
UEA_downsampled,PAM_LCSS_I,NATOPS,0.8372794800371401
UEA_downsampled,PAM_LCSS_I,PenDigits,0.8131574245525128
UEA_downsampled,PAM_LCSS_I,PEMS-SF,0.1605984675916338
UEA_downsampled,PAM_LCSS_I,PhonemeSpectra,0.9455461858403036
UEA_downsampled,PAM_LCSS_I,RacketSports,0.6763228640744868
UEA_downsampled,PAM_LCSS_I,SelfRegulationSCP1,0.6495136236312706
UEA_downsampled,PAM_LCSS_I,SelfRegulationSCP2,0.4992195528398833
UEA_downsampled,PAM_LCSS_I,SpokenArabicDigits,0.917827631190164
UEA_downsampled,PAM_LCSS_I,StandWalkJump,0.4216524216524216
UEA_downsampled,PAM_LCSS_I,UWaveGestureLibrary,0.9113015117001452
UEA_downsampled,PAM_LCSS_I,EigenWorms,0.3119930561791026
UEA_downsampled,PAM_LCSS_I,FaceDetection,0.4995115355836798
UEA_downsampled,PAM_LCSS_I,InsectWingbeat,0.6962282282282282
UEA_downsampled,PAM_Lorentzian,ArticularyWordRecognition,0.9830231783063172
UEA_downsampled,PAM_Lorentzian,AtrialFibrillation,0.3586206896551723
UEA_downsampled,PAM_Lorentzian,BasicMotions,0.560126582278481
UEA_downsampled,PAM_Lorentzian,CharacterTrajectories,0.9693567103669772
UEA_downsampled,PAM_Lorentzian,Cricket,0.9502358783364367
